CountryCode;CityCode;exp;exp discription
MO;MO09;trend2000;"indicator 2000 has longer time series than indicators 2667, 2666, 2668; so indicator 2000 going to be used to calculated the total of the city"
MO;MO10;trend2000;"indicator 2000 has longer time series than indicators 2667, 2666, 2668; so indicator 2000 going to be used to calculated the total of the city"
PK;PK01;trend2000;"indicator 2000 has longer time series than indicators 2667, 2666, 2668; so indicator 2000 going to be used to calculated the total of the city"
SA;SA01;make678;from indicators 2001, 2002, 2003 and 2000 calculating 2668, 2666, 2667
SA;SA02;make678;from indicators 2001, 2002, 2003 and 2000 calculating 2668, 2666, 2667
SA;SA03;make678;from indicators 2001, 2002, 2003 and 2000 calculating 2668, 2666, 2667
SA;SA04;make678;from indicators 2001, 2002, 2003 and 2000 calculating 2668, 2666, 2667
SA;SA05;make678;from indicators 2001, 2002, 2003 and 2000 calculating 2668, 2666, 2667
SA;SA06;make678;from indicators 2001, 2002, 2003 and 2000 calculating 2668, 2666, 2667
SA;SA07;make678;from indicators 2001, 2002, 2003 and 2000 calculating 2668, 2666, 2667
SA;SA08;make678;from indicators 2001, 2002, 2003 and 2000 calculating 2668, 2666, 2667
SA;SA09;make678;from indicators 2001, 2002, 2003 and 2000 calculating 2668, 2666, 2667
SA;SA10;make678;from indicators 2001, 2002, 2003 and 2000 calculating 2668, 2666, 2667
SA;SA11;make678;from indicators 2001, 2002, 2003 and 2000 calculating 2668, 2666, 2667
SA;SA12;make678;from indicators 2001, 2002, 2003 and 2000 calculating 2668, 2666, 2667
SA;SA13;make678;from indicators 2001, 2002, 2003 and 2000 calculating 2668, 2666, 2667
PH;PH02;connect;"indicators 2668, 2666, 2667 and indicators 2001, 2002, 2003 cover different years; so we need to connect them"
PH;PH03;connect;"indicators 2668, 2666, 2667 and indicators 2001, 2002, 2003 cover different years; so we need to connect them"
PH;PH04;connect;"indicators 2668, 2666, 2667 and indicators 2001, 2002, 2003 cover different years; so we need to connect them"
PH;PH06;connect;"indicators 2668, 2666, 2667 and indicators 2001, 2002, 2003 cover different years; so we need to connect them"
PH;PH08;connect;"indicators 2668, 2666, 2667 and indicators 2001, 2002, 2003 cover different years; so we need to connect them"
PH;PH09;connect;"indicators 2668, 2666, 2667 and indicators 2001, 2002, 2003 cover different years; so we need to connect them"
